,id,athlete_id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,achievement_count,kudos_count,average_speed,max_speed,average_cadence,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,average_heartrate_sort,max_heartrate_sort,elev_high,elev_low,pr_count,suffer_score,date,date_sort,time,distance_f,moving_time_f,pace,start_lat,start_lng
19,11508647517,2.0,Lunch Run,6405.2,2276,2276,15.0,Run,0,5,2.814,4.19,80.4,311.6,457.0,311.0,709.3,1,1,147.8,152.0,147.8,152,95.6,88.4,0,52.0,27/05/2024,739033,12:32:56,6.41km,00:37:56,05:55/km,51.64813634008169,-1.9724333100020885
20,11493235590,2.0,Morning Ride,40401.5,5450,10454,334.0,Ride,388,7,7.413,15.076,n/a,133.8,n/a,n/a,729.2,0,1,147.4,179.0,147.4,179,75.6,21.6,112,110.0,25/05/2024,739031,09:54:09,40.40km,01:30:50,26.7km/h,51.46180562674999,-0.22122424095869064
21,11485848535,2.0,Lunch Ride,39223.4,5018,7655,330.0,Ride,24,8,7.817,15.195,n/a,144.0,n/a,n/a,722.4,0,1,151.6,190.0,151.6,190,73.0,7.8,1,126.0,24/05/2024,739030,11:10:49,39.22km,01:23:38,28.1km/h,51.01457602344453,-0.3784461133182049
22,11471109128,2.0,Afternoon Run,7531.8,1949,1949,69.0,Run,4,8,3.864,5.558,82.7,430.0,592.0,432.0,838.1,1,1,169.9,185.0,169.9,185,59.0,30.0,1,96.0,22/05/2024,739028,14:11:31,7.53km,00:32:29,04:19/km,51.014504274353385,-0.37882003001868725
23,11458170730,2.0,Evening Ride,45314.5,5074,8631,312.0,Ride,19,8,8.931,16.066,n/a,179.8,n/a,n/a,912.4,0,1,152.6,190.0,152.6,190,55.6,8.4,12,133.0,20/05/2024,739026,18:11:13,45.31km,01:24:34,32.2km/h,51.0146848205477,-0.3779315482825041
24,11446145782,2.0,Morning Ride,36136.5,5394,9445,339.0,Ride,27,9,6.699,15.15,n/a,110.0,n/a,n/a,593.2,0,0,n/a,n/a,0.0,0,111.2,29.8,1,n/a,19/05/2024,739025,09:14:37,36.14km,01:29:54,24.1km/h,51.01462706923485,-0.3779462166130543
25,11439629674,2.0,Afternoon Run,7451.7,1935,1935,65.0,Run,5,4,3.851,5.302,82.8,431.9,560.0,434.0,835.8,1,1,173.3,188.0,173.3,188,59.0,30.8,0,111.0,18/05/2024,739024,14:50:07,7.45km,00:32:15,04:20/km,51.014677779749036,-0.3778793290257454
26,11431283819,2.0,Morning Ride,53473.2,7287,10853,475.0,Ride,22,9,7.338,14.96,n/a,128.8,n/a,n/a,938.3,0,0,n/a,n/a,0.0,0,128.8,16.2,4,n/a,17/05/2024,739023,10:48:07,53.47km,02:01:27,26.4km/h,51.014681635424495,-0.37797873839735985
27,11417033615,2.0,Afternoon Run,5010.5,1336,1336,53.0,Run,0,5,3.75,5.476,82.1,432.6,579.0,436.0,577.9,1,1,169.8,185.0,169.8,185,54.8,25.8,0,66.0,15/05/2024,739021,15:44:59,5.01km,00:22:16,04:27/km,51.01452933624387,-0.3789304196834564
28,11416425220,2.0,Lunch Run,5006.3,1620,1626,54.0,Run,0,5,3.09,4.476,79.9,356.6,484.0,359.0,577.6,1,1,158.7,178.0,158.7,178,88.4,56.0,0,55.0,14/05/2024,739020,11:04:04,5.01km,00:27:00,05:24/km,51.20143127627671,-1.378509420901537
29,11400619380,2.0,Afternoon Run,5128.4,1564,1601,53.0,Run,0,6,3.279,4.462,79.3,379.3,539.0,380.0,593.2,1,1,155.7,175.0,155.7,175,55.0,25.8,0,43.0,13/05/2024,739019,14:42:55,5.13km,00:26:04,05:05/km,51.014603516086936,-0.37902865558862686
30,11393668428,2.0,Lunch Ride,33069.4,5023,6277,240.0,Ride,50,10,6.584,12.447,n/a,102.3,n/a,n/a,514.0,0,0,n/a,n/a,0.0,0,62.8,11.2,6,n/a,12/05/2024,739018,12:35:27,33.07km,01:23:43,23.7km/h,51.461922973394394,-0.22100966423749924
